Name,NameK,SGG,area_km2,16_cap_phy,16_fire,16_police,16_ex_budget,16_main_budget,17_cap_phy,17_fire,17_police,17_ex_budget,17_main_budget,18_cap_phy,18_fire,18_police,18_ex_budget,18_main_budget
Gangwon Gangneung-si,강원도 강릉시,42150,1046.657057,20,7,8,11489640,324127632,27,7,8,6073650,106612695,28,7,12,4698184,76670945
Gangwon Goseong-gun,강원도 고성군,42820,661.47782,12,4,5,24490167,324127632,12,4,5,17998079,106612695,12,4,7,8487303,76670945
Gangwon Donghae-si,강원도 동해시,42170,198.167317,11,4,7,9816380,324127632,11,4,7,5047848,106612695,11,5,9,6956954,76670945
Gangwon Samcheok-si,강원도 삼척시,42230,1192.521712,21,4,9,6282174,324127632,20,5,9,6606273,106612695,20,5,14,5342935,76670945
Gangwon Sokcho-si,강원도 속초시,42210,110.783546,2,3,3,3857011,324127632,2,3,3,2355559,106612695,2,4,5,1790251,76670945
Gangwon Yanggu-gun,강원도 양구군,42800,700.861,16,1,6,7768870,324127632,16,1,6,6591672,106612695,16,0,6,14485731,76670945
Gangwon Yangyang-gun,강원도 양양군,42830,629.014,18,2,5,9622125,324127632,18,3,5,9446747,106612695,18,3,6,7766236,76670945
Gangwon Yeongwol-gun,강원도 영월군,42750,1127.618097,14,3,7,13783695,324127632,14,3,7,12176548,106612695,14,4,11,16858663,76670945
Gangwon Wonju-si,강원도 원주시,42130,867.815925,49,8,11,9257987,324127632,48,8,11,11508288,106612695,50,9,15,7898334,76670945
Gangwon Inje-gun,강원도 인제군,42810,1646.22329,119,3,6,5533943,324127632,119,4,6,8576855,106612695,119,4,9,6620706,76670945
Gangwon Jeongseon-gun,강원도 정선군,42770,1219.72,140,5,9,16012441,324127632,140,5,9,15056755,106612695,140,6,12,16741428,76670945
Gangwon Cheorwon-gun,강원도 철원군,42780,898.440855,11,4,4,12511673,324127632,11,4,4,11265749,106612695,18,5,8,13743513,76670945
Gangwon Chuncheon-si,강원도 춘천시,42110,1116.411447,38,6,12,15357530,324127632,38,7,12,6806716,106612695,38,11,17,7066809,76670945
Gangwon Taebaek-si,강원도 태백시,42190,303.568,4,4,6,2999095,324127632,4,4,6,1484262,106612695,4,5,8,2458666,76670945
Gangwon Pyeongchang-gun,강원도 평창군,42760,1463.600127,23,5,6,13268162,324127632,17,5,6,14068274,106612695,17,6,10,9867176,76670945
Gangwon Hongcheon-gun,강원도 홍천군,42720,1819.840887,26,3,9,7783556,324127632,25,3,9,11281995,106612695,26,4,12,6719429,76670945
Gangwon Hwacheon-gun,강원도 화천군,42790,909.079732,13,2,5,3636920,324127632,13,2,5,3099331,106612695,13,0,6,4838847,76670945
Gangwon Hoengseong-gun,강원도 횡성군,42730,997.71917,11,4,10,17682736,324127632,11,4,10,18377910,106612695,11,4,12,17162157,76670945
Gyeonggi Gapyeong-gun,경기도 가평군,41820,841.447397,84,3,7,6413876,202397788,84,3,7,3967632,929284451,84,3,7,3969147,1025325455
Gyeonggi Goyang-si,경기도 고양시,41280,266.405315,71,12,19,16505561,202397788,70,12,19,31872163,929284451,74,13,20,22524308,1025325455
Gyeonggi Gwacheon-si,경기도 과천시,41290,35.853,12,3,3,1448355,202397788,11,3,3,1661207,929284451,15,3,5,1144072,1025325455
Gyeonggi Gwangmyeong-si,경기도 광명시,41210,38.506473,16,5,6,4118237,202397788,15,5,6,7629076,929284451,17,5,7,5815476,1025325455
Gyeonggi Gwangju-si,경기도 광주시,41610,430.964918,39,6,10,8245809,202397788,39,6,10,6682615,929284451,39,6,10,3645505,1025325455
Gyeonggi Guri-si,경기도 구리시,41310,33.292067,26,3,5,10392189,202397788,26,3,5,12144229,929284451,26,3,5,13242365,1025325455
Gyeonggi Gunpo-si,경기도 군포시,41410,36.362,13,3,5,2780480,202397788,14,3,5,5309175,929284451,13,3,7,4897401,1025325455
Gyeonggi Gimpo-si,경기도 김포시,41570,276.586238,37,6,11,17350567,202397788,37,6,11,18609615,929284451,37,8,11,13934781,1025325455
