Name,NameK,SGG,16_ex_str,16_ex_pop,16_ex_eco,17_ex_str,17_ex_pop,17_ex_eco
Gangwon Gangneung-si,강원도 강릉시,42150,725,1921,24636.6,815,3777,26174.5
Gangwon Goseong-gun,강원도 고성군,42820,247,488,15654,264,490,16331.1
Gangwon Donghae-si,강원도 동해시,42170,523,8262,52747.7,590,8222,54345.4
Gangwon Samcheok-si,강원도 삼척시,42230,908,1850,11112.1,1014,1880,11630.8
Gangwon Sokcho-si,강원도 속초시,42210,343,3131,77903.5,397,3117,81718.8
Gangwon Yanggu-gun,강원도 양구군,42800,1151,6276,21232.9,1317,6301,21965.7
Gangwon Yangyang-gun,강원도 양양군,42830,771,1429,21750.1,850,1426,22984.3
Gangwon Yeongwol-gun,강원도 영월군,42750,1342,2342,10594.1,1568,2330,11271.7
Gangwon Wonju-si,강원도 원주시,42130,1379,2962,44892,1602,3034,46828.3
Gangwon Inje-gun,강원도 인제군,42810,451,3269,14159.4,558,3282,14639.9
Gangwon Jeongseon-gun,강원도 정선군,42770,649,2835,11799.6,557,2806,12253.6
Gangwon Cheorwon-gun,강원도 철원군,42780,85,247,100065,96,256,102035.6
Gangwon Chuncheon-si,강원도 춘천시,42110,3008,20340,78939.7,3295,20324,83448.2
Gangwon Taebaek-si,강원도 태백시,42190,545,2487,41880.5,660,2420,42490.5
Gangwon Pyeongchang-gun,강원도 평창군,42760,678,2776,42515.6,758,2743,43745
Gangwon Hongcheon-gun,강원도 홍천군,42720,538,864,21712.9,606,857,22988.1
Gangwon Hwacheon-gun,강원도 화천군,42790,687,3012,29459.3,748,2905,30701.6
Gangwon Hoengseong-gun,강원도 횡성군,42730,220,496,17347.1,253,517,18138.3
Gyeonggi Gapyeong-gun,경기도 가평군,41820,1505,7336,95960.8,1571,7216,102740.3
Gyeonggi Goyang-si,경기도 고양시,41280,9842,121590,361895.2,10365,123813,367250.7
Gyeonggi Gwacheon-si,경기도 과천시,41290,35,700,560980.6,38,703,554356.9
Gyeonggi Gwangmyeong-si,경기도 광명시,41210,5885,183936,2180636.2,5819,178982,2230316.6
Gyeonggi Gwangju-si,경기도 광주시,41610,1951,15024,260869.9,2064,15505,269382.3
Gyeonggi Guri-si,경기도 구리시,41310,1943,54580,750838.7,2010,53934,774491.5
Gyeonggi Gunpo-si,경기도 군포시,41410,244,1315,562318.4,239,1310,576476.8
Gyeonggi Gimpo-si,경기도 김포시,41570,4368,65355,234342.7,4590,68238,235786.5
Gyeonggi Namyangju-si,경기도 남양주시,41360,1906,11319,269418.8,2115,11469,281516.3
Gyeonggi Dongducheon-si,경기도 동두천시,41250,296,1683,129260.2,270,1612,131600.8
Gyeonggi Bucheon-si,경기도 부천시,41190,562,4673,602011.9,535,4613,602011.9
Gyeonggi Seongnam-si,경기도 성남시,41130,49,130,310739.6,51,135,316520.9
Gyeonggi Suwon-si,경기도 수원시,41110,1776,27453,359906.8,1922,27274,378425.9
Gyeonggi Siheung-si,경기도 시흥시,41390,233,1454,147914.4,195,1446,151257.5
Gyeonggi Ansan-si,경기도 안산시,41270,299,2287,108281.1,328,2352,115887.6
Gyeonggi Anseong-si,경기도 안성시,41550,4853,29377,73603.6,5574,30002,74818.9
