Name,NameK,SGG,16_ha_rain,17_ha_rain,18_ha_rain,16_ha_damage,17_ha_damage,18_ha_damage
Gangwon Gangneung-si,강원도 강릉시,42150,536.5288103,526.7586121,528.8284722,0,0,0
Gangwon Goseong-gun,강원도 고성군,42820,384.9,388.6,408,0,0,0
Gangwon Donghae-si,강원도 동해시,42170,412.4,406.2,401.2,0,0,0
Gangwon Samcheok-si,강원도 삼척시,42230,360.6448529,356.5320752,352.4752803,0,0,0
Gangwon Sokcho-si,강원도 속초시,42210,384.9,388.6,408,0,0,0
Gangwon Yanggu-gun,강원도 양구군,42800,381.9,381.4,381.9,0,0,0
Gangwon Yangyang-gun,강원도 양양군,42830,442.8660513,441.7510389,454.2843704,0,0,0
Gangwon Yeongwol-gun,강원도 영월군,42750,365.4818935,364.2530122,351.1239642,0,0,0
Gangwon Wonju-si,강원도 원주시,42130,374.1361492,370.940385,369.5766548,0,0,0
Gangwon Inje-gun,강원도 인제군,42810,382.3117478,382.3881946,385.4822056,0,0,0
Gangwon Jeongseon-gun,강원도 정선군,42770,438.00829,433.0190746,430.5570759,0,0,0
Gangwon Cheorwon-gun,강원도 철원군,42780,429.4208117,423.1906515,463.1102022,0,0,0
Gangwon Chuncheon-si,강원도 춘천시,42110,398.5030978,398.7173048,395.4158642,0,0,0
Gangwon Taebaek-si,강원도 태백시,42190,337.9,333.7,329.4,0,0,0
Gangwon Pyeongchang-gun,강원도 평창군,42760,505.0182982,500.8924468,497.3634134,0,0,0
Gangwon Hongcheon-gun,강원도 홍천군,42720,417.7269814,418.4594939,418.8065119,0,1,0
Gangwon Hwacheon-gun,강원도 화천군,42790,409.4174546,407.1002235,419.6244449,0,0,0
Gangwon Hoengseong-gun,강원도 횡성군,42730,379.6291071,378.9710304,379.6257701,0,0,0
Gyeonggi Gapyeong-gun,경기도 가평군,41820,425.0087507,423.8205658,428.3242026,0,0,0
Gyeonggi Goyang-si,경기도 고양시,41280,495.5339714,474.3834305,474.6875074,0,0,0
Gyeonggi Gwacheon-si,경기도 과천시,41290,481.3572156,465.5360874,465.4277607,0,0,0
Gyeonggi Gwangmyeong-si,경기도 광명시,41210,489.8444108,470.784353,470.9609321,0,0,0
Gyeonggi Gwangju-si,경기도 광주시,41610,451.3942379,446.3188804,443.9105598,0,0,0
Gyeonggi Guri-si,경기도 구리시,41310,496.5,474.9,475.3,0,0,0
Gyeonggi Gunpo-si,경기도 군포시,41410,439.9,439.9,438.4,0,0,0
Gyeonggi Gimpo-si,경기도 김포시,41570,513.5668826,505.6351774,505.2720119,0,0,0
Gyeonggi Namyangju-si,경기도 남양주시,41360,479.2383801,467.3173762,465.4871928,0,0,0
Gyeonggi Dongducheon-si,경기도 동두천시,41250,434.3107402,427.0189459,464.8260194,0,0,0
Gyeonggi Bucheon-si,경기도 부천시,41190,439.3726531,406.0261616,405.1128893,0,0,0
Gyeonggi Seongnam-si,경기도 성남시,41130,457.0720653,450.5187683,449.5952157,0,0,0
Gyeonggi Suwon-si,경기도 수원시,41110,439.9,439.9,438.4,0,0,0
Gyeonggi Siheung-si,경기도 시흥시,41390,425.0221666,396.3500181,394.9694683,0,0,0
Gyeonggi Ansan-si,경기도 안산시,41270,431.9366037,420.0825609,418.5468461,0,0,0
Gyeonggi Anseong-si,경기도 안성시,41550,391.8437162,387.7431455,384.6844237,0,0,0
Gyeonggi Anyang-si,경기도 안양시,41170,452.4844011,447.6818735,446.604318,0,0,0
Gyeonggi Yangju-si,경기도 양주시,41630,494.3223891,473.2234033,474.9332445,0,0,0
Gyeonggi Yangpyeong-gun,경기도 양평군,41830,444.5633814,444.6128509,440.9121655,0,0,0
Gyeonggi Yeoju-si,경기도 여주시,41670,438.1976892,428.2098872,427.6759816,0,0,0
Gyeonggi Yeoncheon-gun,경기도 연천군,41800,431.485738,425.2942911,465.1646045,0,0,1
Gyeonggi Osan-si,경기도 오산시,41370,439.9,439.9,438.4,0,0,0
Gyeonggi Yongin-si,경기도 용인시,41460,440.5451293,434.4379049,433.841086,0,0,0
Gyeonggi Uiwang-si,경기도 의왕시,41430,439.9,439.9,438.4,0,0,0
Gyeonggi Uijeongbu-si,경기도 의정부시,41150,496.5,474.9,475.3,0,0,0
Gyeonggi Icheon-si,경기도 이천시,41500,441.4,427.2,427.8,0,0,0
Gyeonggi Paju-si,경기도 파주시,41480,510.7448759,501.0236119,505.1041027,0,0,0
Gyeonggi Pyeongtaek-si,경기도 평택시,41220,418.9300312,419.9144496,417.3371615,0,0,0
Gyeonggi Pocheon-si,경기도 포천시,41650,439.2904029,430.8529117,465.6646994,0,0,0
Gyeonggi Hanam-si,경기도 하남시,41450,486.2504009,470.3975921,469.4733545,0,0,0
Gyeonggi Hwaseong-si,경기도 화성시,41590,439.9,439.9,438.4,0,0,0
Gyeongnam Geoje-si,경상남도 거제시,48310,474.1158056,491.9505158,486.7706711,1,0,1
Gyeongnam Geochang-gun,경상남도 거창군,48880,311.6118232,309.4796193,305.3147508,0,0,0
Gyeongnam Goseong-gun,경상남도 고성군,48820,346.0322955,358.3221781,355.2434278,0,0,0
Gyeongnam Gimhae-si,경상남도 김해시,48250,367.416421,375.844412,374.2504126,1,0,0
Gyeongnam Namhae-gun,경상남도 남해군,48840,477.8,476.9,473.5,1,0,0
Gyeongnam Miryang-si,경상남도 밀양시,48270,314.1,319.3,322.5,0,0,0
Gyeongnam Sacheon-si,경상남도 사천시,48240,358.2991502,361.841561,363.2393646,0,0,0
Gyeongnam Sancheong-gun,경상남도 산청군,48860,453.2743345,449.4922149,447.9264942,0,0,0
Gyeongnam Yangsan-si,경상남도 양산시,48330,365.9320898,369.1510559,369.8411922,1,0,0
Gyeongnam Uiryeong-gun,경상남도 의령군,48720,352.6837133,347.6490321,349.5077555,0,0,0
Gyeongnam Jinju-si,경상남도 진주시,48170,344.7445276,348.8846534,350.4633328,0,0,0
Gyeongnam Changnyeong-gun,경상남도 창녕군,48740,327.2089272,328.1636324,330.9433233,0,0,0
Gyeongnam Changwon-si,경상남도 창원시,48120,361.218125,366.193916,362.633949,1,0,0
Gyeongnam Tongyeong-si,경상남도 통영시,48220,325.0874264,346.6679575,340.7485876,1,0,0
Gyeongnam Hadong-gun,경상남도 하동군,48850,383.9930858,385.5806985,385.8739726,0,0,0
Gyeongnam Haman-gun,경상남도 함안군,48730,362.8865187,367.3631953,363.5292054,0,0,0
Gyeongnam Hamyang-gun,경상남도 함양군,48870,359.2013035,356.8461161,357.8635823,0,0,1
Gyeongnam Hapcheon-gun,경상남도 합천군,48890,355.5149846,348.3503845,349.4673422,0,0,0
Gyeongbuk Gyeongsan-si,경상북도 경산시,47290,257.2555044,259.4287049,259.4287049,0,0,0
