"Name","NameK","SGG","X16_capacity","X17_capacity","X18_capacity"
"Gangwon Gangneung-si","강원도 강릉시",42150,0.823960923236361,0.862334518339365,0.869880065600434
"Gangwon Goseong-gun","강원도 고성군",42820,0.788933802902278,0.842593972834692,0.879847912843904
"Gangwon Donghae-si","강원도 동해시",42170,0.807841244863841,0.854221625957193,0.83914996546292
"Gangwon Samcheok-si","강원도 삼척시",42230,0.856900199728529,0.874578402439238,0.881574320627831
"Gangwon Sokcho-si","강원도 속초시",42210,0.875973311187447,0.902713416083808,0.895331791917691
"Gangwon Yanggu-gun","강원도 양구군",42800,0.858040983475555,0.884823601498764,0.861437636923205
"Gangwon Yangyang-gun","강원도 양양군",42830,0.842026470611723,0.863136961557414,0.874860832758846
"Gangwon Yeongwol-gun","강원도 영월군",42750,0.833565693377542,0.866468681091331,0.849012249083355
"Gangwon Wonju-si","강원도 원주시",42130,0.787124581971532,0.801475530012776,0.814328021493245
"Gangwon Inje-gun","강원도 인제군",42810,0.777830087811079,0.779257007064379,0.791028475418474
"Gangwon Jeongseon-gun","강원도 정선군",42770,0.697660608195,0.729603506112354,0.724804797167336
"Gangwon Cheorwon-gun","강원도 철원군",42780,0.845663555337563,0.876311868261915,0.850195828681415
"Gangwon Chuncheon-si","강원도 춘천시",42110,0.778460987876669,0.840030791404037,0.834982932673845
"Gangwon Taebaek-si","강원도 태백시",42190,0.893338907793716,0.92088474963442,0.909042172253565
"Gangwon Pyeongchang-gun","강원도 평창군",42760,0.822720462546113,0.856547438347543,0.872795682756127
"Gangwon Hongcheon-gun","강원도 홍천군",42720,0.848202374963113,0.855686731866035,0.876566248192717
"Gangwon Hwacheon-gun","강원도 화천군",42790,0.897348458949903,0.916501741578212,0.914157682145439
"Gangwon Hoengseong-gun","강원도 횡성군",42730,0.814966414692674,0.842979632096159,0.850314053969755
"Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.802394945099984,0.786820756971558,0.785521887143806
"Gyeonggi Goyang-si","경기도 고양시",41280,0.689404176334064,0.559028946853706,0.576661860287531
"Gyeonggi Gwacheon-si","경기도 과천시",41290,0.814387652826494,0.79561105274189,0.775079581789206
"Gyeonggi Gwangmyeong-si","경기도 광명시",41210,0.739298508119056,0.678964331417747,0.677307858557064
"Gyeonggi Gwangju-si","경기도 광주시",41610,0.807158059941253,0.775128718027772,0.802818156700982
"Gyeonggi Guri-si","경기도 구리시",41310,0.70748832582743,0.645875475153422,0.63039965527113
"Gyeonggi Gunpo-si","경기도 군포시",41410,0.778395265647422,0.724218189714526,0.706793761243694
"Gyeonggi Gimpo-si","경기도 김포시",41570,0.755696926205223,0.68395807754878,0.69490311507129
"Gyeonggi Namyangju-si","경기도 남양주시",41360,0.759636682845479,0.723567677383975,0.687170506036328
"Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.788009359632732,0.776094022842239,0.77206064562211
"Gyeonggi Bucheon-si","경기도 부천시",41190,0.584936627382764,0.565323856517113,0.528833838060963
"Gyeonggi Seongnam-si","경기도 성남시",41130,0.651399085089838,0.579631085002118,0.53113221601002
"Gyeonggi Suwon-si","경기도 수원시",41110,0.61912283369415,0.544297080826258,0.553809637288722
"Gyeonggi Siheung-si","경기도 시흥시",41390,0.732284805331321,0.680531338145997,0.683953936053195
"Gyeonggi Ansan-si","경기도 안산시",41270,0.773695012718053,0.724122117831679,0.689615119593773
"Gyeonggi Anseong-si","경기도 안성시",41550,0.838804488891427,0.817501559452198,0.799411593470175
"Gyeonggi Anyang-si","경기도 안양시",41170,0.740673198280493,0.685555241243819,0.630297334379795
"Gyeonggi Yangju-si","경기도 양주시",41630,0.716703465212235,0.684782635552879,0.688994271147996
"Gyeonggi Yangpyeong-gun","경기도 양평군",41830,0.760482168791318,0.697965936934509,0.71012758869135
"Gyeonggi Yeoju-si","경기도 여주시",41670,0.833939980392839,0.796018518582959,0.7736578912494
"Gyeonggi Yeoncheon-gun","경기도 연천군",41800,0.875462853593739,0.859931393884776,0.844266312834788
"Gyeonggi Osan-si","경기도 오산시",41370,0.726385727411319,0.680707954618436,0.69949596698343
"Gyeonggi Yongin-si","경기도 용인시",41460,0.712976513725895,0.656593114667558,0.631346194580913
"Gyeonggi Uiwang-si","경기도 의왕시",41430,0.784736013753132,0.762850516082482,0.756988907301409
"Gyeonggi Uijeongbu-si","경기도 의정부시",41150,0.76223470711066,0.742590765606451,0.715307743680859
"Gyeonggi Icheon-si","경기도 이천시",41500,0.844975502955213,0.82990514595691,0.783708968416513
"Gyeonggi Paju-si","경기도 파주시",41480,0.780572735456078,0.743206457706603,0.726959367936242
"Gyeonggi Pyeongtaek-si","경기도 평택시",41220,0.761914038555483,0.792008714071641,0.694832278309884
"Gyeonggi Pocheon-si","경기도 포천시",41650,0.730751949132647,0.704030006235185,0.701833147694754
"Gyeonggi Hanam-si","경기도 하남시",41450,0.784563042105734,0.753801725880057,0.746188919954883
"Gyeonggi Hwaseong-si","경기도 화성시",41590,0.595620839094051,0.555142397116446,0.498538696738101
"Gyeongnam Geoje-si","경상남도 거제시",48310,0.744342206637405,0.755389506492316,0.736656578306196
"Gyeongnam Geochang-gun","경상남도 거창군",48880,0.709958907923282,0.694244424026067,0.697510265406631
"Gyeongnam Goseong-gun","경상남도 고성군",48820,0.687818545147066,0.68861378593282,0.666022500259321
"Gyeongnam Gimhae-si","경상남도 김해시",48250,0.737508810643024,0.733466095891366,0.741805480601583
"Gyeongnam Namhae-gun","경상남도 남해군",48840,0.683642986581435,0.661654109197219,0.670285638272678
"Gyeongnam Miryang-si","경상남도 밀양시",48270,0.754232001583671,0.76399566383468,0.746107050586008
"Gyeongnam Sacheon-si","경상남도 사천시",48240,0.812690407072068,0.83358241073424,0.810888489019476
"Gyeongnam Sancheong-gun","경상남도 산청군",48860,0.669242564650665,0.669043611953204,0.668803676756235
"Gyeongnam Yangsan-si","경상남도 양산시",48330,0.801280997647457,0.812069178063848,0.803715991068084
"Gyeongnam Uiryeong-gun","경상남도 의령군",48720,0.893388176987919,0.872052085174964,0.86385063422499
"Gyeongnam Jinju-si","경상남도 진주시",48170,0.839079111168035,0.831947375110971,0.812377506376506
"Gyeongnam Changnyeong-gun","경상남도 창녕군",48740,0.913832330916806,0.893598726160794,0.876183342022356
"Gyeongnam Changwon-si","경상남도 창원시",48120,0.645784162262591,0.637293801711847,0.596418374578027
"Gyeongnam Tongyeong-si","경상남도 통영시",48220,0.760203151410368,0.736019197418945,0.780753768677997
"Gyeongnam Hadong-gun","경상남도 하동군",48850,0.828519002322608,0.813685501594321,0.802253300233312
"Gyeongnam Haman-gun","경상남도 함안군",48730,0.817288968483108,0.859764368751282,0.857990582342322
"Gyeongnam Hamyang-gun","경상남도 함양군",48870,0.835332431526957,0.849968512693595,0.852686351891784
"Gyeongnam Hapcheon-gun","경상남도 합천군",48890,0.582977934245422,0.579118957009485,0.56983352606478
"Gyeongbuk Gyeongsan-si","경상북도 경산시",47290,0.787391367328776,0.759394177354984,0.746055601119184
"Gyeongbuk Gyeongju-si","경상북도 경주시",47130,0.780609334795041,0.809387256396818,0.810335695034326
"Gyeongbuk Goryeong-gun","경상북도 고령군",47830,0.861023100834986,0.857993308653155,0.833637803513877
"Gyeongbuk Gumi-si","경상북도 구미시",47190,0.775065673866596,0.814669992834526,0.788302374654841
"Gyeongbuk Gunwi-gun","경상북도 군위군",47720,0.832416531408215,0.860609447840112,0.84809249649533
"Gyeongbuk Gimcheon-si","경상북도 김천시",47150,0.839871599150293,0.867648526412874,0.80991027688676
"Gyeongbuk Mungyeong-si","경상북도 문경시",47280,0.892868448261168,0.900867197095302,0.899105961598589
"Gyeongbuk Bonghwa-gun","경상북도 봉화군",47920,0.847194891526118,0.844103570379874,0.859948647240791
"Gyeongbuk Sangju-si","경상북도 상주시",47250,0.828019272990493,0.812174818322867,0.787942820229727
"Gyeongbuk Seongju-gun","경상북도 성주군",47840,0.850568114679332,0.837716411765776,0.826327196001239
"Gyeongbuk Andong-si","경상북도 안동시",47170,0.763194456623499,0.755060008197707,0.764746733069291
"Gyeongbuk Yeongdeok-gun","경상북도 영덕군",47770,0.817710403640769,0.825021683121509,0.800617623594523
"Gyeongbuk Yeongyang-gun","경상북도 영양군",47760,0.880320539429788,0.913381956337357,0.923364026257029
"Gyeongbuk Yeongju-si","경상북도 영주시",47210,0.807081000675538,0.815390144236234,0.775605345797112
"Gyeongbuk Yeongcheon-si","경상북도 영천시",47230,0.817967141595203,0.837082127193664,0.831324173804763
"Gyeongbuk Yecheon-gun","경상북도 예천군",47900,0.836264282029942,0.834594186596745,0.834165634629848
"Gyeongbuk Ulleung-gun","경상북도 울릉군",47940,0.816275516333129,0.833405590676513,0.847054064687849
"Gyeongbuk Uljin-gun","경상북도 울진군",47930,0.857469310267301,0.809736523645316,0.816545732808537
"Gyeongbuk Uiseong-gun","경상북도 의성군",47730,0.830305467000384,0.808229449757794,0.796552109059952
"Gyeongbuk Cheongdo-gun","경상북도 청도군",47820,0.837425065938766,0.837346507440978,0.833929748171922
"Gyeongbuk Cheongsong-gun","경상북도 청송군",47750,0.753604195861865,0.749442743976551,0.701638311930701
"Gyeongbuk Chilgok-gun","경상북도 칠곡군",47850,0.817309729436862,0.81426478245514,0.818833370799956
"Gyeongbuk Pohang-si","경상북도 포항시",47110,0.747260348793387,0.684325655936101,0.654332969463964
"Gwangju","광주광역시",29000,0.670804434651663,0.649009554452943,0.639058695491295
"Daegu","대구광역시",27000,0.531591764118823,0.493961589754479,0.482551654462193
"Daejeon","대전광역시",30000,0.643019480643749,0.613043854262025,0.622123134258293
"Busan","부산광역시",26000,0.341368797311358,0.324901982243497,0.319556373001043
"Seoul","서울특별시",11000,0.271047210449446,0.252969732037919,0.233324817349106
"Sejong","세종특별자치시",36000,0.73048017736754,0.735788861210217,0.72301246242429
"Ulsan","울산광역시",31000,0.601202949969507,0.604670661361689,0.566530726526347
"Incheon","인천광역시",28000,0.602780271488375,0.521746601407904,0.504244072736178
"Jeonnam Gangjin-gun","전라남도 강진군",46810,0.917434350616711,0.898702232001478,0.889157385333774
"Jeonnam Goheung-gun","전라남도 고흥군",46770,0.884826280263349,0.899082766862012,0.868073179010564
"Jeonnam Gokseong-gun","전라남도 곡성군",46720,0.816646407941127,0.821390273757377,0.832354954892807
"Jeonnam Gwangyang-si","전라남도 광양시",46230,0.780106542110405,0.74780128604404,0.759862958484512
"Jeonnam Gurye-gun","전라남도 구례군",46730,0.75041447496603,0.744044623062366,0.739424177610471
"Jeonnam Naju-si","전라남도 나주시",46170,0.740361265865698,0.726079575069968,0.741768514557638
"Jeonnam Damyang-gun","전라남도 담양군",46710,0.872124355313839,0.880177100602411,0.874073183589695
"Jeonnam Mokpo-si","전라남도 목포시",46110,0.782237882329538,0.763065014295371,0.768416580965292
