"Name","NameK","SGG","X16_exposure","X17_exposure"
"Gangwon Gangneung-si","강원도 강릉시",42150,0.303877237748906,0.323906417639095
"Gangwon Goseong-gun","강원도 고성군",42820,0.193871616964956,0.188419061857514
"Gangwon Donghae-si","강원도 동해시",42170,0.380736564969936,0.378664875960997
"Gangwon Samcheok-si","강원도 삼척시",42230,0.264464633779134,0.262845865578944
"Gangwon Sokcho-si","강원도 속초시",42210,0.357849637335637,0.356929629068099
"Gangwon Yanggu-gun","강원도 양구군",42800,0.349058877586355,0.348264109469367
"Gangwon Yangyang-gun","강원도 양양군",42830,0.289862702575778,0.287431568057688
"Gangwon Yeongwol-gun","강원도 영월군",42750,0.283883896130888,0.284669785625581
"Gangwon Wonju-si","강원도 원주시",42130,0.37719842823689,0.377589113076275
"Gangwon Inje-gun","강원도 인제군",42810,0.2692147862634,0.27057475375525
"Gangwon Jeongseon-gun","강원도 정선군",42770,0.268121872549784,0.255131819473041
"Gangwon Cheorwon-gun","강원도 철원군",42780,0.241357577324273,0.236606190122578
"Gangwon Chuncheon-si","강원도 춘천시",42110,0.499316473837408,0.49912861052725
"Gangwon Taebaek-si","강원도 태백시",42190,0.332054142884219,0.330295814871986
"Gangwon Pyeongchang-gun","강원도 평창군",42760,0.344699519234592,0.341312625428004
"Gangwon Hongcheon-gun","강원도 홍천군",42720,0.260549988033044,0.258353912585606
"Gangwon Hwacheon-gun","강원도 화천군",42790,0.326079527199081,0.321750080072175
"Gangwon Hoengseong-gun","강원도 횡성군",42730,0.19596708840994,0.194618234462681
"Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.453033183840987,0.450170896580769
"Gyeonggi Goyang-si","경기도 고양시",41280,0.689268216713676,0.68744358998232
"Gyeonggi Gwacheon-si","경기도 과천시",41290,0.340630690479618,0.331760067991579
"Gyeonggi Gwangmyeong-si","경기도 광명시",41210,0.787969752658349,0.782682502737977
"Gyeonggi Gwangju-si","경기도 광주시",41610,0.543850621916671,0.541445357381203
"Gyeonggi Guri-si","경기도 구리시",41310,0.645396556901822,0.641558222100945
"Gyeonggi Gunpo-si","경기도 군포시",41410,0.434732893293963,0.425070852274081
"Gyeonggi Gimpo-si","경기도 김포시",41570,0.613443789534411,0.611039590028653
"Gyeonggi Namyangju-si","경기도 남양주시",41360,0.536203806103265,0.535559441691595
"Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.3630587598865,0.349356689882817
"Gyeonggi Bucheon-si","경기도 부천시",41190,0.509579891732067,0.498339070382393
"Gyeonggi Seongnam-si","경기도 성남시",41130,0.267338340463331,0.258620322226335
"Gyeonggi Suwon-si","경기도 수원시",41110,0.57761406658679,0.576339518020669
"Gyeonggi Siheung-si","경기도 시흥시",41390,0.35732874277927,0.341491339380746
"Gyeonggi Ansan-si","경기도 안산시",41270,0.362377235569553,0.361257404530271
"Gyeonggi Anseong-si","경기도 안성시",41550,0.524822210617744,0.525335984960697
"Gyeonggi Anyang-si","경기도 안양시",41170,0.613461043419049,0.607280549652707
"Gyeonggi Yangju-si","경기도 양주시",41630,0.487746183960979,0.485670341723229
