"Name","NameK","SGG","X16_exposure","X17_exposure"
"Gangwon Gangneung-si","강원도 강릉시",42150,0.383181935821484,0.3984708003553
"Gangwon Goseong-gun","강원도 고성군",42820,0.285708533513405,0.277925948560262
"Gangwon Donghae-si","강원도 동해시",42170,0.451285184273283,0.447190108550964
"Gangwon Samcheok-si","강원도 삼척시",42230,0.348259351181017,0.344144437897684
"Gangwon Sokcho-si","강원도 속초시",42210,0.43100561411136,0.427851978433075
"Gangwon Yanggu-gun","강원도 양구군",42800,0.4232163279319,0.420142153632596
"Gangwon Yangyang-gun","강원도 양양군",42830,0.370763984671752,0.366018655196269
"Gangwon Yeongwol-gun","강원도 영월군",42750,0.365466304409855,0.363561461666675
"Gangwon Wonju-si","강원도 원주시",42130,0.448150124239591,0.446232988406745
"Gangwon Inje-gun","강원도 인제군",42810,0.352468349965115,0.351020929614411
"Gangwon Jeongseon-gun","강원도 정선군",42770,0.351499944738763,0.337281151362849
"Gangwon Cheorwon-gun","강원도 철원군",42780,0.327784730030488,0.320798659461085
"Gangwon Chuncheon-si","강원도 춘천시",42110,0.55635606229137,0.554368250350228
"Gangwon Taebaek-si","강원도 태백시",42190,0.408148831062638,0.404155529664949
"Gangwon Pyeongchang-gun","강원도 평창군",42760,0.419353602669333,0.413957328423721
"Gangwon Hongcheon-gun","강원도 홍천군",42720,0.344790675335338,0.340147889254982
"Gangwon Hwacheon-gun","강원도 화천군",42790,0.402854864134735,0.396552278948449
"Gangwon Hoengseong-gun","강원도 횡성군",42730,0.287565281647968,0.283441432559717
"Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.515345523795134,0.510809939407794
"Gyeonggi Goyang-si","경기도 고양시",41280,0.72466784963961,0.721914521795604
"Gyeonggi Gwacheon-si","경기도 과천시",41290,0.415748308873163,0.40545829459289
"Gyeonggi Gwangmyeong-si","경기도 광명시",41210,0.81212496731231,0.806649813565257
"Gyeonggi Gwangju-si","경기도 광주시",41610,0.595816727130516,0.592018007027015
"Gyeonggi Guri-si","경기도 구리시",41310,0.685794200127076,0.681089716861495
"Gyeonggi Gunpo-si","경기도 군포시",41410,0.499130065256445,0.488478105536327
"Gyeonggi Gimpo-si","경기도 김포시",41570,0.657481601859237,0.653936895412441
"Gyeonggi Namyangju-si","경기도 남양주시",41360,0.589041062861325,0.586781231754601
"Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.43562129551431,0.421114236549512
"Gyeonggi Bucheon-si","경기도 부천시",41190,0.565450236337866,0.553665786277481
"Gyeonggi Seongnam-si","경기도 성남시",41130,0.350805675321074,0.340384917356041
"Gyeonggi Suwon-si","경기도 수원시",41110,0.625733724118339,0.623063792801872
"Gyeonggi Siheung-si","경기도 시흥시",41390,0.430544061653486,0.414116332537593
"Gyeonggi Ansan-si","경기도 안산시",41270,0.435017412790363,0.431702456204083
"Gyeonggi Anseong-si","경기도 안성시",41550,0.578956097858975,0.577685290149202
"Gyeonggi Anyang-si","경기도 안양시",41170,0.657496890122026,0.650592428599313
"Gyeonggi Yangju-si","경기도 양주시",41630,0.546103899611781,0.542394254629078
"Gyeonggi Yangpyeong-gun","경기도 양평군",41830,0.550088657806127,0.547873633727068
"Gyeonggi Yeoju-si","경기도 여주시",41670,0.500956928393442,0.497622754741349
"Gyeonggi Yeoncheon-gun","경기도 연천군",41800,0.11392343760765,0.110287073656027
"Gyeonggi Osan-si","경기도 오산시",41370,0.522481152211365,0.524151297292569
"Gyeonggi Yongin-si","경기도 용인시",41460,0.584955556628687,0.581416131356043
"Gyeonggi Uiwang-si","경기도 의왕시",41430,0.380181671777499,0.36913943553991
"Gyeonggi Uijeongbu-si","경기도 의정부시",41150,0.559391483674274,0.55491927371489
"Gyeonggi Icheon-si","경기도 이천시",41500,0.542216872497637,0.539534659326371
"Gyeonggi Paju-si","경기도 파주시",41480,0.52511821982384,0.521463665311068
"Gyeonggi Pyeongtaek-si","경기도 평택시",41220,0.557311736112078,0.559463102235082
