"","Name","NameK","SGG","X16_result","X17_result"
"1","Gangwon Gangneung-si","강원도 강릉시",42150,0.810010401840355,0.900397746739243
"2","Gangwon Goseong-gun","강원도 고성군",42820,0.488118446548589,0.616086221652721
"3","Gangwon Donghae-si","강원도 동해시",42170,0.495485681798293,0.608804985293333
"4","Gangwon Samcheok-si","강원도 삼척시",42230,0.406406437628798,0.493812289523814
"5","Gangwon Sokcho-si","강원도 속초시",42210,0.545831983097128,0.637093795367298
"6","Gangwon Yanggu-gun","강원도 양구군",42800,0.550063789483652,0.635682666339123
"7","Gangwon Yangyang-gun","강원도 양양군",42830,0.617825693826767,0.796609333148375
"8","Gangwon Yeongwol-gun","강원도 영월군",42750,0.418590221439548,0.559887582975431
"9","Gangwon Wonju-si","강원도 원주시",42130,0.495612498059784,0.588799469508909
"10","Gangwon Inje-gun","강원도 인제군",42810,0.296830334830776,0.356802358756233
"11","Gangwon Jeongseon-gun","강원도 정선군",42770,0.310457594346531,0.397879875974592
"12","Gangwon Cheorwon-gun","강원도 철원군",42780,0.838453003090513,0.94685457082991
"13","Gangwon Chuncheon-si","강원도 춘천시",42110,0.550258826607897,0.702557912442991
"14","Gangwon Taebaek-si","강원도 태백시",42190,0.731677413157584,0.846319945011694
"15","Gangwon Pyeongchang-gun","강원도 평창군",42760,0.761132641528597,0.919397052655807
"16","Gangwon Hongcheon-gun","강원도 홍천군",42720,0.570874642553581,0.662246235709566
"17","Gangwon Hwacheon-gun","강원도 화천군",42790,0.727735886774081,0.824005513351455
"18","Gangwon Hoengseong-gun","강원도 횡성군",42730,0.340263665285168,0.4658987796689
"19","Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.728528825751004,0.810455866483196
"20","Gyeonggi Goyang-si","경기도 고양시",41280,0.709804533743159,0.642180791878525
"21","Gyeonggi Gwacheon-si","경기도 과천시",41290,0.493040376733287,0.567671318404711
"22","Gyeonggi Gwangmyeong-si","경기도 광명시",41210,1,0.989063398616146
"23","Gyeonggi Gwangju-si","경기도 광주시",41610,0.60320706439762,0.672336166073571
"24","Gyeonggi Guri-si","경기도 구리시",41310,0.776824792926195,0.758046517664101
"25","Gyeonggi Gunpo-si","경기도 군포시",41410,0.622372362701319,0.654715649898066
"26","Gyeonggi Gimpo-si","경기도 김포시",41570,0.687331473422643,0.731782539403031
"27","Gyeonggi Namyangju-si","경기도 남양주시",41360,0.647637414089822,0.692499013246424
"28","Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.646451554912884,0.725316609581327
"29","Gyeonggi Bucheon-si","경기도 부천시",41190,0.427818494325112,0.37818025611111
"30","Gyeonggi Seongnam-si","경기도 성남시",41130,0.248172229037902,0.225581806797352
"31","Gyeonggi Suwon-si","경기도 수원시",41110,0.464756416620272,0.451660617468954
"32","Gyeonggi Siheung-si","경기도 시흥시",41390,0.206188813905647,0.155509849072248
"33","Gyeonggi Ansan-si","경기도 안산시",41270,0.431660427528422,0.401653558992384
"34","Gyeonggi Anseong-si","경기도 안성시",41550,0.652839185848864,0.699208166712061
"35","Gyeonggi Anyang-si","경기도 안양시",41170,0.837052355531501,0.837420178281927
"36","Gyeonggi Yangju-si","경기도 양주시",41630,0.678954953523822,0.706728053591316
"37","Gyeonggi Yangpyeong-gun","경기도 양평군",41830,0.689784511799093,0.736020568227907
"38","Gyeonggi Yeoju-si","경기도 여주시",41670,0.590581044809901,0.663077967695567
"39","Gyeonggi Yeoncheon-gun","경기도 연천군",41800,0.650959489048854,0.612597490604682
"40","Gyeonggi Osan-si","경기도 오산시",41370,0.323823887852473,0.319582324259389
"41","Gyeonggi Yongin-si","경기도 용인시",41460,0.577817501178844,0.603870051251313
"42","Gyeonggi Uiwang-si","경기도 의왕시",41430,0.563156245308721,0.586587145251937
"43","Gyeonggi Uijeongbu-si","경기도 의정부시",41150,0.793130468996424,0.824515846186691
"44","Gyeonggi Icheon-si","경기도 이천시",41500,0.66984846717748,0.714474720389551
"45","Gyeonggi Paju-si","경기도 파주시",41480,0.606352059854707,0.683940776135546
"46","Gyeonggi Pyeongtaek-si","경기도 평택시",41220,0.574462206887158,0.692325338400696
"47","Gyeonggi Pocheon-si","경기도 포천시",41650,0.650267769753124,0.702594277219462
"48","Gyeonggi Hanam-si","경기도 하남시",41450,0.690862767885986,0.726291806537993
"49","Gyeonggi Hwaseong-si","경기도 화성시",41590,0.398630777728244,0.427151184681103
"50","Gyeongnam Geoje-si","경상남도 거제시",48310,0.725545222084505,0.847504443911545
"51","Gyeongnam Geochang-gun","경상남도 거창군",48880,0.437209159308909,0.451668294144134
"52","Gyeongnam Goseong-gun","경상남도 고성군",48820,0.53930660090473,0.636050713084059
"53","Gyeongnam Gimhae-si","경상남도 김해시",48250,0.521327266278837,0.611308383883097
"54","Gyeongnam Namhae-gun","경상남도 남해군",48840,0.868921152076275,0.984136827086361
"55","Gyeongnam Miryang-si","경상남도 밀양시",48270,0.551641942839207,0.646801579293336
"56","Gyeongnam Sacheon-si","경상남도 사천시",48240,0.629142488831656,0.722719241974164
"57","Gyeongnam Sancheong-gun","경상남도 산청군",48860,0.767532986479189,0.852972454273477
"58","Gyeongnam Yangsan-si","경상남도 양산시",48330,0.546706588545833,0.62493365388623
"59","Gyeongnam Uiryeong-gun","경상남도 의령군",48720,0.434278688255837,0.512085715946836
"60","Gyeongnam Jinju-si","경상남도 진주시",48170,0.607284307096791,0.678301568143285
"61","Gyeongnam Changnyeong-gun","경상남도 창녕군",48740,0.673668454088731,0.755177478998912
"62","Gyeongnam Changwon-si","경상남도 창원시",48120,0.485744150309653,0.54512258393968
"63","Gyeongnam Tongyeong-si","경상남도 통영시",48220,0.549149181559939,0.600502468786817
"64","Gyeongnam Hadong-gun","경상남도 하동군",48850,0.7177658084788,0.807547668877848
"65","Gyeongnam Haman-gun","경상남도 함안군",48730,0.416483332475612,0.586966665071125
"66","Gyeongnam Hamyang-gun","경상남도 함양군",48870,0.704049485051577,0.798249168405281
"67","Gyeongnam Hapcheon-gun","경상남도 합천군",48890,0.436436017795409,0.484777493772354
"68","Gyeongbuk Gyeongsan-si","경상북도 경산시",47290,0.385213101291318,0.379792831116948
"69","Gyeongbuk Gyeongju-si","경상북도 경주시",47130,0.645786451562871,0.718955673014287
"70","Gyeongbuk Goryeong-gun","경상북도 고령군",47830,0.647912695219445,0.683100171555904
"71","Gyeongbuk Gumi-si","경상북도 구미시",47190,0.296881856906058,0.352543079292069
"72","Gyeongbuk Gunwi-gun","경상북도 군위군",47720,0.48296324811944,0.628923252071594
"73","Gyeongbuk Gimcheon-si","경상북도 김천시",47150,0.553998424983006,0.642954286715426
"74","Gyeongbuk Mungyeong-si","경상북도 문경시",47280,0.589025953396871,0.645380057270448
"75","Gyeongbuk Bonghwa-gun","경상북도 봉화군",47920,0.673484269311715,0.782036730832296
"76","Gyeongbuk Sangju-si","경상북도 상주시",47250,0.494031458121419,0.505170292375276
"77","Gyeongbuk Seongju-gun","경상북도 성주군",47840,0.456371829112334,0.489498636942242
"78","Gyeongbuk Andong-si","경상북도 안동시",47170,0.344027289124611,0.390936432444161
"79","Gyeongbuk Yeongdeok-gun","경상북도 영덕군",47770,0.55940928174818,0.642528823686647
