"","Name","NameK","SGG","X16_result","X17_result"
"1","Gangwon Gangneung-si","강원도 강릉시",42150,0.661450324369061,0.653798241337123
"2","Gangwon Goseong-gun","강원도 고성군",42820,0.532081150839495,0.551679150077954
"3","Gangwon Donghae-si","강원도 동해시",42170,0.535042060920606,0.549063873613036
"4","Gangwon Samcheok-si","강원도 삼척시",42230,0.499240892213546,0.507760765728641
"5","Gangwon Sokcho-si","강원도 속초시",42210,0.555276364022084,0.559224656144371
"6","Gangwon Yanggu-gun","강원도 양구군",42800,0.556977137482749,0.558717806434488
"7","Gangwon Yangyang-gun","강원도 양양군",42830,0.584210814552163,0.616519490586851
"8","Gangwon Yeongwol-gun","강원도 영월군",42750,0.504137585082527,0.531493707683451
"9","Gangwon Wonju-si","강원도 원주시",42130,0.535093028689976,0.54187828698775
"10","Gangwon Inje-gun","강원도 인제군",42810,0.455201985292987,0.458549501362171
"11","Gangwon Jeongseon-gun","강원도 정선군",42770,0.460678814620481,0.473303735219716
"12","Gangwon Cheorwon-gun","강원도 철원군",42780,0.672881476208282,0.670484616106779
"13","Gangwon Chuncheon-si","강원도 춘천시",42110,0.557055523385709,0.582738075601494
"14","Gangwon Taebaek-si","강원도 태백시",42190,0.629968102339606,0.634374561737676
"15","Gangwon Pyeongchang-gun","강원도 평창군",42760,0.641806231524998,0.660622417227158
"16","Gangwon Hongcheon-gun","강원도 홍천군",42720,0.565341070839398,0.568258916538568
"17","Gangwon Hwacheon-gun","강원도 화천군",42790,0.628383993130611,0.626359658077281
"18","Gangwon Hoengseong-gun","강원도 횡성군",42730,0.472657948302153,0.497734783632522
"19","Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.628702677267998,0.621492892213153
"20","Gyeonggi Goyang-si","경기도 고양시",41280,0.621177337966538,0.561051804941125
"21","Gyeonggi Gwacheon-si","경기도 과천시",41290,0.534059286762735,0.534289471901585
"22","Gyeonggi Gwangmyeong-si","경기도 광명시",41210,0.737807614102658,0.685645194403186
"23","Gyeonggi Gwangju-si","경기도 광주시",41610,0.57833555120279,0.571883020483447
"24","Gyeonggi Guri-si","경기도 구리시",41310,0.648112946010509,0.602668487985213
"25","Gyeonggi Gunpo-si","경기도 군포시",41410,0.586038132026066,0.565554078669314
"26","Gyeonggi Gimpo-si","경기도 김포시",41570,0.612145359401835,0.59323498509765
"27","Gyeonggi Namyangju-si","경기도 남양주시",41360,0.596192218711302,0.579125117439814
"28","Gyeonggi Dongducheon-si","경기도 동두천시",41250,0.595715618973033,0.590912550657692
"29","Gyeonggi Bucheon-si","경기도 부천시",41190,0.507846450795647,0.46622802037489
"30","Gyeonggi Seongnam-si","경기도 성남시",41130,0.435646172143719,0.411417667657964
"31","Gyeonggi Suwon-si","경기도 수원시",41110,0.522691893189176,0.492620716643445
"32","Gyeonggi Siheung-si","경기도 시흥시",41390,0.418772933691129,0.386249202737448
"33","Gyeonggi Ansan-si","경기도 안산시",41270,0.509390533259024,0.474659167717079
"34","Gyeonggi Anseong-si","경기도 안성시",41550,0.598282823655892,0.581534913014653
"35","Gyeonggi Anyang-si","경기도 안양시",41170,0.672318552487646,0.631177941092115
"36","Gyeonggi Yangju-si","경기도 양주시",41630,0.608778815322217,0.5842359080385
"37","Gyeonggi Yangpyeong-gun","경기도 양평군",41830,0.613131241596717,0.594757201448869
"38","Gyeonggi Yeoju-si","경기도 여주시",41670,0.57326112268049,0.568557658260543
"39","Gyeonggi Yeoncheon-gun","경기도 연천군",41800,0.597527368859629,0.550426066706941
"40","Gyeonggi Osan-si","경기도 오산시",41370,0.466050761062727,0.445180799202468
"41","Gyeonggi Yongin-si","경기도 용인시",41460,0.568131422904795,0.547291342655517
"42","Gyeonggi Uiwang-si","경기도 의왕시",41430,0.562239027883291,0.541083663756687
"43","Gyeonggi Uijeongbu-si","경기도 의정부시",41150,0.654666237580453,0.626542959564472
"44","Gyeonggi Icheon-si","경기도 이천시",41500,0.605118895920638,0.587018357935608
"45","Gyeonggi Paju-si","경기도 파주시",41480,0.579599532661006,0.576051167496078
"46","Gyeonggi Pyeongtaek-si","경기도 평택시",41220,0.566782921824454,0.579062736861275
"47","Gyeonggi Pocheon-si","경기도 포천시",41650,0.597249365162637,0.582751137111842
"48","Gyeonggi Hanam-si","경기도 하남시",41450,0.613564595386774,0.591262822167027
"49","Gyeonggi Hwaseong-si","경기도 화성시",41590,0.496115835254388,0.483817411878324
