"Name","NameK","SGG","X16_hazard","X17_hazard","X18_hazard"
"Gangwon Gangneung-si","강원도 강릉시",42150,1,1,1
"Gangwon Goseong-gun","강원도 고성군",42820,0.526457388236365,0.546328380740048,0.615301272180967
"Gangwon Donghae-si","강원도 동해시",42170,0.612340946893423,0.604121524269861,0.593651148650153
"Gangwon Samcheok-si","강원도 삼척시",42230,0.450707630101878,0.441026893201998,0.438519354457617
"Gangwon Sokcho-si","강원도 속초시",42210,0.526457388236365,0.546328380740048,0.615301272180967
"Gangwon Yanggu-gun","강원도 양구군",42800,0.517088272746504,0.522685731114214,0.532203003922992
"Gangwon Yangyang-gun","강원도 양양군",42830,0.707487597943332,0.72086051823473,0.762663380520072
"Gangwon Yeongwol-gun","강원도 영월군",42750,0.465813894105393,0.466380144351182,0.434216977914356
"Gangwon Wonju-si","강원도 원주시",42130,0.492841467816088,0.488339479355033,0.492967423644632
"Gangwon Inje-gun","강원도 인제군",42810,0.518374176976803,0.525930667043373,0.543608179474871
"Gangwon Jeongseon-gun","강원도 정선군",42770,0.69231662239604,0.692187355388872,0.687119430964633
"Gangwon Cheorwon-gun","강원도 철원군",42780,0.665497597076248,0.659913749315574,0.790763431804216
"Gangwon Chuncheon-si","강원도 춘천시",42110,0.568940386339056,0.579550588037847,0.575235375916477
"Gangwon Taebaek-si","강원도 태백시",42190,0.379674578895212,0.366053177343071,0.365051314898332
"Gangwon Pyeongchang-gun","강원도 평창군",42760,0.901591457663481,0.915063238423364,0.899820233834662
"Gangwon Hongcheon-gun","강원도 홍천군",42720,0.628977314876404,0.644378040779269,0.649707495353349
"Gangwon Hwacheon-gun","강원도 화천군",42790,0.603026342791306,0.607077589380339,0.652311664543045
"Gangwon Hoengseong-gun","강원도 횡성군",42730,0.509996186798103,0.514709720391354,0.524962215941747
"Gyeonggi Gapyeong-gun","경기도 가평군",41820,0.651718560723811,0.66198219974463,0.68001031585086
"Gyeonggi Goyang-si","경기도 고양시",41280,0.871971539952553,0.828015546158587,0.827623738823911
"Gyeonggi Gwacheon-si","경기도 과천시",41290,0.827696985831968,0.798963513792916,0.798142171188758
"Gyeonggi Gwangmyeong-si","경기도 광명시",41210,0.854202823169899,0.816197250560154,0.815758913001576
"Gyeonggi Gwangju-si","경기도 광주시",41610,0.734121453001493,0.735859945475124,0.729634809788416
"Gyeonggi Guri-si","경기도 구리시",41310,0.874988484459189,0.82971180611635,0.829573818302103
"Gyeonggi Gunpo-si","경기도 군포시",41410,0.698224505550481,0.714782259324107,0.712090059730484
